bill_id,title,created_at,updated_at,subjects
HB 962,Municipal Sales Tax.,2013-04-18,2014-03-05,"Commerce|Public Services|Budget, Spending, and Taxes|Municipal and County Issues"
HB 963,Share Arrest Warrant Status/JDIG.,2013-04-18,2014-03-05,"Commerce|Public Services|Crime|Budget, Spending, and Taxes|State Agencies|Education"
HB 964,Appropriations Act of 2013.,2013-04-18,2014-03-05,"Public Services|Transportation|Budget, Spending, and Taxes"
HB 965,Teacher Licensure Fees.,2013-04-18,2014-12-03,Legal Issues|Public Services|Labor and Employment|Other|Technology and Communication|State Agencies|Education
HB 966,Cap Fuel Tax.,2013-04-18,2014-03-05,"Energy|Transportation|Public Services|Budget, Spending, and Taxes"
HB 967,2013 Appropriations Act.,2013-04-18,2014-12-03,"Public Services|Transportation|Budget, Spending, and Taxes"
HB 968,Increase Successful CTE Participation.,2013-04-18,2014-12-03,"Commerce|Municipal and County Issues|Public Services|Labor and Employment|Other|Budget, Spending, and Taxes|State Agencies|Education"
HB 969,Broaden Successful AP Participation.,2013-04-18,2014-12-03,"Municipal and County Issues|Public Services|Labor and Employment|Budget, Spending, and Taxes|State Agencies|Education"
HB 97,Lottery Funds Used for Digital Learning.,2013-02-13,2014-12-03,"Gambling and Gaming|Public Services|Technology and Communication|Budget, Spending, and Taxes|Education|Science and Medical Research"
HB 970,Funds for NC Food Banks.,2013-04-18,2014-03-05,"Municipal and County Issues|Public Services|Agriculture and Food|Health|Budget, Spending, and Taxes|State Agencies|Education|Business and Consumers|Welfare and Poverty"
HB 971,A Family For Every Child/Foster Care.,2013-04-18,2014-03-05,"Family and Children Issues|Legislative Affairs|Public Services|Executive Branch|Other|Health|Budget, Spending, and Taxes|State Agencies|Business and Consumers"
HB 972,Eliminate Continuing Care Prop. Tax Exemption.,2013-04-18,2014-03-05,"Senior Issues|Legal Issues|Public Services|Health|Budget, Spending, and Taxes|Housing and Property"
HB 973,Funds/Two-Tiered Pay for Three-Way Contracts.,2013-04-18,2014-03-05,"Public Services|Labor and Employment|Other|Health|Budget, Spending, and Taxes|State Agencies|Business and Consumers"
HB 974,Governor's Proposed Budget.,2013-04-18,2014-12-03,"Legislative Affairs|Public Services|Recreation|Crime|Labor and Employment|Other|Health|Business and Consumers|Animal Rights and Wildlife Issues|Welfare and Poverty|Senior Issues|Government Reform|Transportation|Legal Issues|Municipal and County Issues|Drugs|Judiciary|Executive Branch|Environmental|Federal, State, and Local Relations|Arts and Humanities|Budget, Spending, and Taxes|Commerce|Social Issues|Gambling and Gaming|Family and Children Issues|Civil Liberties and Civil Rights|Technology and Communication|Housing and Property|Energy|Campaign Finance and Election Issues|Agriculture and Food|State Agencies|Education|Insurance|Science and Medical Research"
HB 975,Modify Low Wealth School Funding Formula.,2013-04-18,2014-03-05,"Municipal and County Issues|Public Services|Other|Budget, Spending, and Taxes|Military|State Agencies|Education"
HB 976,Gun Safety Act.,2013-04-18,2014-03-05,Commerce|Guns|Legal Issues|Public Services|Crime|Other|State Agencies|Insurance
HB 977,Reentry Funds.,2013-04-18,2014-03-05,"Legal Issues|Municipal and County Issues|Public Services|Judiciary|Crime|Labor and Employment|Budget, Spending, and Taxes|State Agencies|Education"
HB 978,School of Science and Math/Fees.,2013-04-18,2014-03-05,State Agencies|Education|Other|Public Services|Science and Medical Research
HB 979,DOT Funding to Support Economic Development.,2013-04-18,2014-03-05,"Commerce|Public Services|Transportation|Budget, Spending, and Taxes"
HB 98,Johnston County Schools/Calendar Flexibility.,2013-02-13,2014-03-05,State Agencies|Education|Municipal and County Issues|Legislative Affairs
HB 980,Medicaid/2012-2013 Additional Appropriations.,2013-04-18,2014-03-05,"Transportation|Legislative Affairs|Drugs|Public Services|Health|Budget, Spending, and Taxes|State Agencies|Insurance|Welfare and Poverty"
HB 981,New MHDDSA Region & Psych. Hospital.,2013-04-18,2014-03-05,"Drugs|Public Services|Health|Budget, Spending, and Taxes|Housing and Property|State Agencies"
HB 982,Modify Medicaid Subrogation Statute.,2013-04-18,2014-07-23,Legal Issues|Legislative Affairs|Public Services|Judiciary|Health|Insurance|Welfare and Poverty
HB 983,2013 Fisheries Economic Development Act.,2013-04-18,2014-03-05,"Legal Issues|Public Services|Agriculture and Food|Environmental|Other|Federal, State, and Local Relations|Budget, Spending, and Taxes|State Agencies|Animal Rights and Wildlife Issues"
HB 984,Budget Authority Amendments.,2013-04-18,2014-12-03,"Public Services|Budget, Spending, and Taxes"
